,Sno,Clothing.ID,Age,Title,Review.Text,Rating,Recommended.IND,Positive.Feedback.Count,Division.Name,Department.Name,Class.Name
15,22946,1091,34,Absolutely beautiful,"I almost never buy anything full price here and usually wait patiently for a sale + promotion :) however, this really struck me and i decided to buy it, telling myself it's an investment piece for years to come. it's just so unique and beautiful -- the things that makes retailer unique that aren't as common anymore.

____________
pros:
- very comfortable. i was skeptical because it's all polyester, but it's light and thin and breathable. it feels wonderful on the skin. the lining inside is ver",5,1,81,General,Dresses,Dresses
16,4711,836,34,Like wearing a beautiful painting,"The retailer by me actually had this and i had to try it on. my thoughts below:
___________
pros:
- well-constructed with lining underneath to avoid the need of a cami or tank. no see-through issues whatsoever.
- the fabric is great quality and looks nicely sewn. no fraying or strays seen on the 2 sizes i tried.
- there's a back zipper that goes from top to bottom at the back. unusual as i don't see why that's needed since you can just slip it over your head.
- front ""v slit"" isn't too low or reve",4,1,78,General Petite,Tops,Blouses
17,2383,1110,56,Pretty fabric but needs serious pressing,"This dress arrived today in such a crumpled and wrinkled state that i was reluctant to even try it on. it is on the large size, but fine if you are looking for a very flowing look. longer at the front than shown in the photograph and i am 5'9"". i am sending it back. it is a pretty fabric, although shinier than expected. i am just not prepared to spend so much time pressing and steam ironing this item every time i want to wear it.",3,0,77,General,Dresses,Dresses
18,1168,1060,41,,This Would Be Perfect If Only It Were Lined!!!! I Have A High Waist And Hourglass Shape So Jumpers Are Very Hard To Find That Fit My Body Type. This Is A Perfect Fit For My Body Shape And When On It Looks Like A Lovely Dress. However It Is Not Lined And The Material Is Very Light And Ivory So You See Everything. You Can'T Wear A Slip So That Leaves The Option Of Some Sort Of Bodysuit If You Don'T Want To Show The World What You Have. I Am Very Tired Of All Of The Light Colored Clothing Not Bei,3,0,71,General Petite,Bottoms,Pants
19,21466,861,36,Cute,"Cute!!Literally The Only Reason I Am Giving This 4 Stars Is Because Of My History With This Brand (Holes Developing After Minimal Wear). I Will Do My Usual Wash But Don'T Dry And Hope It Holds Up!

Material: Super Soft And Comfortable, Almost Slubby. I Haven'T Seen The Yellow In Person, The Purple/Grey Is Lovely. 

Fit: Moderate Scoop Neck As Pictured (Almost Oval) That'S A Nice Touch As It'S Not Too Low Or High At The Neck. Not Overly Fitted Over The Chest Or Stomach - Without Being Oversized - J",4,1,69,General,Tops,Knits
20,10107,863,42,Cute,"Nice Weight Teei Was Looking For A Tee That I Could Wear On The Weekends Without Looking Sloppy And Also Have A Little Coverage For When I'M Feeling A Little Bloated. (Come On, That'S What Happens Sometimes On Weekends, Ha!) This Tee Is Great Because It'S Got Some Coverage And It'S Also Not Sloppy Looking Or Oversized While Still Being Flowy And Flattering. 

The Shoulders And Arms Are Fairly Tts And There'S A Slight A-Line Shape To This Tee, So Its Flattering Without Being A Tent Or Frumpy Looking. I Did Si",4,1,68,General,Tops,Knits
21,3471,1056,57,Comfy and classic,"1. i'm 5'5"" tall, 145 lbs, and 38-32-40 and the size 30s fit me perfectly.

2. i love the hyphen chinos, and these fit almost the same, just a bit trimmer. they are not tight, and just skim my body perfectly.

3. i love all the colors. the red is darker than the two hyphen pinks.

4. the pants are comfy enough to be really casual and dressy enough to wear to work.",5,1,66,General Petite,Bottoms,Pants
22,1275,1095,45,Beautiful,The Rose Color Is Lighter Than The Photo Of The Model In Front Of The Pink Building But On The Other Photos It Does Look Lighter So I Wasn'T Surprised. My Dress Fits Very Nicely. I Love The Drop Waist The Loose Fit At The Hips And The Flare Of The Ruffles. The Back Is Just Like The Model Too. I Thought It May Be Boxy But It Comes In At The Waist And Goes A-Line. Perfect. I Ordered The Xl Because It Wanted It To Be Loose Like On The Model. I Was Afraid Because Of My Large Dd Chest It Would,4,1,65,General,Dresses,Dresses
23,8620,1078,53,Beautiful dress,I saw this dress in the lilac at the store and loved it immediately! the picture on the website does not do it justice.,5,1,65,General Petite,Dresses,Dresses
24,10584,1080,64,Can't wait for warmer weather,"This is the second of the new dress batch i have purchased and it is lovely. this catalog shot does not do it justice.

the colors are brighter, but not neon, lots of indigo and coral. there is a tad of yellow? the bodice makes my aa size look much ""more."" the bodice fits me perfectly as the top pleating is flat. the v neck is just right - not too low, and the back is even prettier.

the dress just fell gracefully out of the package without a wrinkle and without a mussed pleat! that was a sh",5,1,65,General,Dresses,Dresses
25,23428,854,42,Sheer shirt,"What drew me to this shirt was the beautiful silver and gold embroidery on the front. the shirt was folded at the store, which makes sense because if it were hung it up, fewer people would try it on. this shirt is sheer from the front and more sheer in the back. this is what bugs me about so many ""clothes"" that are made these days: they are so cheaply made, so thin with cloth, that you are forced to layer with a camisole or something else in order to wear it in public. i can't wear sheer clothes",2,0,65,General Petite,Tops,Knits
26,8841,1094,36,Day/evening, every season no snag tulling!I don't even know where to begin--this is a dress for all seasons but especially the holiday season! i bought it specifically for the guise of a holiday part i can't tell you what a (black) velvet blazer and (black) patent leather heels did for it! the amazing part is that i wore it to work with a cardigan and booties with no problem. my coworkers were amazed but its transition. i have a slim velvet belt with a antique-ish looking clasp that i wore all day with it too and that was the cherry,5,1,64,General,Dresses,Dresses
27,2403,1110,34,Refreshing green,This dress is even better in person. the base color of the fabric is a very light peach and very lovely. as you can see from the photos the green floral pattern running up the front of the dress varies slightly from dress to dress but i found the front on mine was very similar to the 1st photo. the bright green flowers are a light mint green which plays beautifully with the light peach. there are more details in the print to discover in person which is a nice bonus. the silk is not stiff li,5,1,61,General,Dresses,Dresses
28,21571,864,30,Beautiful top!,Love This Top! The Lace Pattern Is Gorgeous And The Detail At The Neck And Sleeves Make It A Little More Casual. It'S Completely Sheer So You Do Need A White Tank Or Shell Underneath. The Top Is On The Shorter Side But Definitely Not A Crop. I'M 34C And 140B And Got A Small. Fits Great And Pairs Well With Black Pants And Heeled Booties.,5,1,59,General,Tops,Knits
29,4562,820,39,Really comfy and can be worn almost year round,"This is a super comfy and adorable shirt. got the black motif - it could def. be passed off as a dark/inkish navy color, too, so it's very versatile. it runs typical/tts for maeve (if you're unfamiliar with the brand, order up one or two sizes if you have broad shoulders and/or large arms). this is super lightweight; feels ""slinky"" for lack of a better word. essentially, it's rayon-gauze- but it is double-layered, so it is not sheer at all (no need for a cami, although in the lighter version i c",5,1,58,General,Tops,Blouses
30,21369,823,44,Pretty, stylish romantic topI bought the white version of this beautiful top in the store yesterday this romantic top is beautifully detailed very soft comfortable and flattering. there is a thin cotton liner underneath too. fits true to size with enough room in the bust to not be too tight.,5,1,58,General Petite,Tops,Blouses
31,3379,883,56,Lace inset is see through-runs large-loved mauve,"I loved the mauve color! i loved the idea of the heathered fabric and lace insets, but the linen was rough and scratchy. my regular size was boxy and a little too short! 

size: i ordered my normal size small for retailer brands! i'm 5'4"" tall, approx. 135 lbs, 35-29-36, 34d, long torso. 

fit: i was swimming in size small! the cut was boxy and unflattering on me. very wide through the chest. it kind of hung on me. the length was a bit short for my liking. 

if i were to size down, i would b",4,1,57,General,Tops,Knits
32,10069,1081,52,Runs really small,I'm 5 feet 120 and hourglass figure. i literally burst out laughing when i opened the package. i ordered my usual small petite. the dress is so short and small you would have to be 4 feet 90 pounds. returning.,2,0,57,General Petite,Dresses,Dresses
33,13250,1078,27,Extremely flattering and comfortable,"Love love love! i'm 5'8"", 122 lbs, 34b, and have an athletic frame (fairly narrow hips) and i bought an xs (in red.) usually i am a s with retailer for dresses (although occasionally a m for slimmer dresses), but i found that the top part of this dress required me to size down to an xs as the low back-design of the dress fit too loosely with the size s--it hung so that it showed my bra straps and the sleeves were a tad baggy under the arms, showing about 2"" of bra underneath. my guess is that if y",5,1,57,General,Dresses,Dresses
34,12787,1081,27,,I saw this dress online and thought it looked just ok. i happened to see the dress in my retailer store today and thought i would try it. i'm so glad i did. this dress looks so much better on. i'm usually a 10-12 in dresses at retailer i tried this in a large. it fit perfect. it's doesn't cling to you but it doesn't hang like a sack either. i think it made me look taller and thin. woohoo. i would say it's a little on the thinner side it's not a heavy knit. it's two layers of thinner knit  as yo,5,1,56,General Petite,Dresses,Dresses
35,658,634,65,Loungewear,"Not Outdoor Wearso I Recognized The Fact That This Dress Was Likely Intended More For Lounging Than For Wearing Out And About, But I Once Had A Lot Of Luck With Dresses Of This Price Point (And Intent) At Retailer, So I Had Hopes. I Was Just Wanting It To Be A Great Addition For Vacations And Beach Days, But It'S Honestly So Thin I Couldn'T Even See It Working That Well For That. It'S Also Cut Smaller Than I Was Anticipating Judging By The Way It Fits The Model; My Usual Small Was Way More Bodycon Than I Was Anti",2,0,55,General Petite,Intimate,Lounge
36,1157,1094,39,Disappointed,I fell in love with this dress the instant i saw it. but was disappointed when i received it. first was the color. i chose the green and it wasn't what i thought. it was a very unnatural shade of artificial grass. when my husband saw it in the package he thought i had ordered a cheap grass hula skirt. the color was that bad. the fit was the next problem. this dress would have fit nicely if they had just added a side zip and made the top more fitted. the top was loose and that added to the flowy,3,0,55,General Petite,Dresses,Dresses
37,8385,1092,62,Beautiful!,I grabbed this immediately when i saw it in the store - the details are beautiful - beading embroidery and small opening details on the arms. from a practicality standpoint it has pockets it's machine washable and it can easily be worn as is with black leggings or tall boots in fall and then throw an additional chunky ivory cardigan on for winter. for sizing i am usually a size s and found it to fit loosely but in comfortable slightlyyyy swingy way. if i had sized down the shoulder seam,5,1,54,General,Dresses,Dresses
38,8639,1078,34,Lilac and coral,I am quite happy with this dress! i was wondering what the colors would look like in person and i'm happy to report that the skirt is a nice mellow orange-coral. beautiful detail in the patterns used here and i always like a dress that has great color-play close up and far away. for reference i am a size 16 full figured with a 40 c bust and the size 16 was just right for me. sometimes with maeve dresses you can size down but there is no stretch to the dress or the slip so that is someth,5,1,53,General Petite,Dresses,Dresses
39,21858,923,39,Size down,"Way Downi Typically Take A M Or A L In Retailer Tops/Sweaters, So I Ordered One Of Each, As This Has Been On Back-Order For Forever. The Medium Was Swimming On Me - And I Have A Very Athletic Frame, With Huge Traps And Biceps. I Could Have Easily Taken This In A Small And Still Had Plenty Of Length In The Sleeves - And I Have Very Long Arms. 
---------
This Sweater Is Thick And Heavy. There'S No Way Here In Atlanta It Can Be Worn Anytime Other Than Spring And The Occasional Very, Very Cool Summer Night.",3,1,53,General,Tops,Sweaters
40,6681,863,65,A necessity!,"Yes, this is a bit expensive; however, it is made in the usa, so that is a very good thing. i appreciate having the opportunity to buy high quality, well-designed basic pieces that are simultaneously supporting my community and country. when you are considering this pretty top, please click on the gold so that you can see the detail. it is very well-made and flattering. i love how it has a slight shape at the back, very flattering and feminine. the feel and weight of the cotton is remarkably com",5,1,52,General,Tops,Knits
41,2043,1072,33,Effortlessly cool,"I will preface this review by stating that this item was available only in one size at my local retailer. they have a section of dresses mostly offered online that are in store for you to touch, see, try on and order through the store (which is much appreciated). i am normally a size 0-2/xs in retailer clothes and i will typically order a petite when available. the option my store had to try on was a regular medium which is what i have pictured here.

i mostly wanted to try it on just to get a fee",5,1,51,General,Dresses,Dresses
42,6401,1082,37,Knock out in crochet!,This is stunning. even more stunning in person. the crochet is divine. every inch of it is beautifully detailed. it's got a bit of weight to it and the crochet is very high quality. i am normally a l or xl and i have curves. this is why this unfortunately did not work for me. it fits more like a shift with a little more aline room. on the right shape it will be perfect. if you're curvy size up. if you're lean or narrow you might want to size down. the length is heavenly for tall gals but wi,5,1,51,General,Dresses,Dresses
43,7914,877,37,Great basic with a twist,"My husband saw this in the store while shopping with me and asked me to try it on. i don't normally go for patterns like this, but i thought it was cute and springy.

i tried on a large first, since i prefer to cover my belly and allow for my broad shoulders. (i'm tall, big boned and 175 pounds) the large actually stuck out funny at the bottom and didn't do much for my shape.

the medium, however was great! it was long enough to hide my belly and cover enough of my waistband that i wouldn't",5,1,51,General Petite,Tops,Knits
44,13938,1110,44,Awkward,Not As Picturedi Purchased The 0P Online And It Was So Incredibly Short On Me It Wouldn'T Even Serve As A Tunic!! It Was Also So Tight In The Bust Area That I Could Not Pull It Down Because There Is Absolutely No Give In The Material. The Berry Color Was Not As Bright As It Had Appeared Online But In Fact Was A Very Muddled Color That Seemed To Make The Material Look Even More Cheap. I Would Need To Size Up Considerably To Have Good Fit Without Give In The Bust And Arms And Judging By The Structure Of The Dres,3,0,51,General Petite,Dresses,Dresses
45,17569,1110,47,Beautiful embroidery,Poor Executioni Loved This Dress. The Details In The Embroidery Are Gorgeous And Reminds Me Of Another Holding Horses Dress I Own. What Didn'T Work Out Is Its A Swing Design But The Fabric Is Thick And Doesn'T Swing Well. It'S White And Makes One Look A Bit Heavier Because Of The Generous Cut. This Could Work On A Tall Person But On My Short Frame It Didn'T Work.,4,0,51,General,Dresses,Dresses
46,19226,1078,36,Stunning,"This one is a beauty! my store is not carrying the white - they had a lovely blue (periwinkle-ish) that immediately caught my eye. the ivory model shot makes the details of the lace and top layer really pop - more so than the blue variety but both are stunning. the details and layers on this dress are lovely and intricate without feeling overly delicate. quality most definitely in line with the price. 

fit: 130lbs/34c/5'6"" high waist. i'm a 4 or 6 at retailer depending on the brand. in most mou",5,1,50,General,Dresses,Dresses
47,5201,927,46,Could have been one of the great ones,I wanted to love this sweater. the color is gorgeous the pattern unusual it is soft and warm and would have gone with so many things. but the cut is awful. mainly the sleeves are way too big making me look misshapen and my arms look huge. the body was a bit boxy but that would have been workable if the arms had been normal. too bad.,2,0,49,General,Tops,Sweaters
48,7774,986,42,Super cute but.....,This is super cute and the colors are so vibrant and its thin enough to wear with tanks for the summer but it already had a hole forming in the upper back shoulder.  i guess the material was a little too thin....$98 is a little too much money for something that gets holes so easily!,3,0,49,General,Jackets,Jackets
49,18507,1081,40,Cheap material -- poorly made,"Do not buy this dress for full price. the design looks great but after receiving the dress, the material is made of extremely cheap slinky-ish polyester that you would find at a f21 store. the stitching is horrific and created an uneven ""hump"" on the back seam. just absolutely poor poor quality.",1,0,48,General,Dresses,Dresses
50,1854,1080,41,Love it!,I Have Been Searching For Great Bra Friendly Maxis And The Design And Colors Of This One Are Exactly What I Was Looking For. I Love How The Front And Back Dip Down And The Open Back With Crossover Detail Is Really Sleek Looking. Overall It'S Tts But The Chest Is A Little Low Cut So Some Will Want To Size Up For Extra Coverage. The Fabric Is A Silky Jersey Made Of Mostly Rayon (95%) And Spandex (5%) With A Mesh Nylon/Spandex Lining From The Top Through Where The Cream Color Ends At The Botto,4,1,47,General,Dresses,Dresses
51,8265,867,38,Gorgeous, interesting blouse.I'm an xl in retailer blouses and this blouse is the same. i'm guessing women with a thin frame might size down but i can't say for sure. i purchased the white blouse with the floral pattern. there is a narrow band on the bottom but it isn't tight so i didn't find it to be a problem. i usually don't like blouses with banded bottoms but this is loose. the band does cause the blouse to blouse out a bit but the fabric has a really nice drape to it so it worked fine. the fabric has a gre,5,1,47,General Petite,Tops,Knits
52,22473,1131,49,Still deciding,"I have not a actually purchased this coat yet but was able to try it on at my local retailer. thought i'd pass along a couple of details the description is missing. the coat is not lined. i have regular length arms and the sleeves are a bit short, not quite 3/4 length but not long enough to keep my wrists warm. also, i was afraid the red would be more orange, it is a very pretty red. it also runs a little big. i am 5'4"" medium, athletic build and would probably consider a m but it seemed bi",4,1,47,General Petite,Jackets,Outerwear
53,2416,1110,38,Elegant and flattering,I Was Expecting Not To Fit Into This Because I'M Womanly And Generally Wear A Size 16 In Things. But The Picture Was So Gorgeous I Had To Try. I'M So Happy I Did. It Slipped Right On And Is Flowy Yet Not Overly So. It Still Has Shape. The Colors Are Exactly As It Is Portrayed On The Site. I Love Having This In My Closet!,5,1,46,General,Dresses,Dresses
54,2857,863,48,,The ruffle is a sweet detail on what might be an otherwise basic rather boxy shirt. it is a nice weight and drape but please know it is a bit short and square. i love the asymmetrical ruffle however and think it makes this tee worth it.,5,1,46,General,Tops,Knits
55,3396,1092,35,Adorable!,"I ran into retailer to actually return a dress and saw this hanging in the petite section and had to try it. at almost 5'4"" i can sometimes go between regular and petite sizing. and thankfully i could grab the petite with this dress. (they didn't have the regular size) it's airy and summery, i love the design of the swing. it's loose, but not tent like. the length came to about 3 inches above my knee. it's not see though at all! i had black bottoms on and you couldn't see them. another plus it tha",5,1,45,General Petite,Dresses,Dresses
56,5083,1095,38,Adorable but runs small in the bust :(,"I ordered my typical 6 petite and found that the buttons were pulling at the bust ( i'm 34 b) and at the waist. i'm returning and ordering a size 8 petite because i'm a sucker for a shirtdress and a cute novelty print. the quality is nice and the length was perfect for my short 4""11 frame, now only to wait for it to be shipped! oh how i wish petites were available in my local store!",4,1,45,General Petite,Dresses,Dresses
57,17953,936,37,Knock out!,I'll admit i had a lot of sticker shock when i saw this was a moth sweater coat at this price point. but i was immediately drawn to it. this is a one of a kind piece for sure. the colors are vibrant the design is stylish and it is beautifully unstructured. it has a cocoon shape wool on the outside and a soft knit on the inside. its a bit heavier (as you would expect a wool coat to be.) my absolute favorite part is the print. very classic on top and very boho on bottom. it is gorgeous. i woul,5,1,45,General Petite,Tops,Sweaters
58,21975,828,39,Great everyday shirt with a twist,"This shirt has much less color variation in person (online it appears vaired, imo). in person it is a darker classic charcoal grey with little to no color variation.
----------
this shirt is very soft, of medium weight, and fits tts. the buttons down the back of the shirt are functional, and the backside pleating ensures you don't show too much skin if you opt to leave one or two unbuttoned.
----------
this is just a nice all-round staple shirt. there is no high-super low shirt tail hem; additio",4,1,45,General,Tops,Blouses
59,4408,1081,38,Lightweight and flowy,I Love This Dress So Much I'Ve Considered Getting It In The Other Prints. It'S Fitted In All The Right Places And Has Pockets! I Love That It'S Stretchy. I'M A 36D And It'S Hard To Fit Dresses Over The Chest. This Dress Is A Dream!,5,1,44,General Petite,Dresses,Dresses
60,9917,1115,71,,I thought this would be so clean looking in a theory/vince. menswear way but unfortunately the cut of the coat is super unflattering. i waiver between a 2 and a 4 at retailer and erred on the side of caution and went with the 4. the shoulders are way off the mark sleeves are too long and the button hits about 3 inches too low. it's just...baggy...in a way that the size itself is not the issue. alas this is going back and my search for the perfect coat continues!,3,0,44,General,Jackets,Outerwear
61,11338,829,64,Huge and then some!,"I bought the orange in xxs petite, and the cream in the xsp as it did not come in xxs.

i like a swing style, but this is a tent. the material in the cream is fairly sheer, and i found hanging threads that came from suspect seams. the overall effects was being lost in all the fabric. they rather skew old school maternity in summation. mine are going back.",3,0,44,General,Tops,Blouses
62,724,886,45,Adorable t-shirt,"This is absolutely adorable and so flattering! i have the patterned shirt, and i just purchased the white one and the orange one because i like it so much. i am 5 ft. 9"" and 155 lbs. and the medium fits nicely. hope this helps!",5,1,43,General Petite,Tops,Knits
63,12511,862,36,Worst blouse i've ordered....ever :(,"There were no reviews, it's an ""online exclusive"" and thought it might look good with a nice skirt at an upcoming wedding. the spandex jersey back looks like sweat shirt material. on the white version of this, it is mismatched with an oatmeal color and white that just looks awful. as a busty 36d i was stunned to find myself swimming in a medium. it does not look like the photograph and the sleeve billow out. i feel like this had to have been clipped and tucked in for this photograph. i'm an anth",1,0,43,General,Tops,Knits
64,17170,1104,35,Welcome back 1994,I thought this was so cute online sweet and feminine but when it arrived and i tried it on in my usual 12p i felt like i had just stepped back into freshman year of highschool - it is very early 90s - not the bohemian i was going for. it is also very high waisted even for my little 5'1 frame. i truly felt like they pulled this out of someone's closet dusted it off and said ta da! as much as i love rachel and monica i have moved on from their clothing :),3,0,43,General,Dresses,Dresses
65,18495,1081,52,,I Also Returned This Dress After Waiting Weeks To Received It. I Had High Hopes For This Dress As I Really Loved It Online But What A Disappointment When I Got It. The Fabric Is Made Of Cheap Poly That'S Shiny Thin And Clingy. It Shows Every Lump And Bump You Have. The Zipper At The Back Won'T Lay Flat And Keeps Bunching Up Creating An Ugly Bump. The Sewing And Hemline Is Uneven. There Wasn'T A Lot Of Thought Put In In The Print Placement Where The Seams Was Sewn Together In The Midline,1,0,43,General,Dresses,Dresses
66,765,1087,34,Great for hot summers,"I am on the fence about this dress, as you'll see the reasons below, but it is really breathable fabric and extremely comfortable!
_________
pros:
- tons of stretch to the top part. i'm a 36c, so a lot of retailer tops are too snug for women with some bust. however, i fit into a medium here without it being too snug. you could actually go down or up depending on how loose or tight you'd like it to be on you.
- the bottom half, the skirt, feels so nice on the skin. very breezy. it is layered an",4,1,42,General,Dresses,Dresses
67,2794,997,36,Not what it seems,So you're thinking this is a red and black skirt right? nope. it's an obnoxious cherry red netting with cranberry crushed velvet insets overlaid on bright red actual spandex. spandex that shows every wrinkle and panty line. it's really god awful.,2,0,42,General Petite,Bottoms,Skirts
68,9590,1081,28,Colors are more intense than they appear,I purchased this dress for my graduation. the colors are much more intense and bright then they appear online. i'm kind of concerned that i look like a carnival tent. i like the style but the fabric feels cheap for the cost of the dress. the fabric is 100% synthetic.the fit is great. the dress is true to size,2,0,42,General,Dresses,Dresses
69,11302,1096,50,Beautiful dress,"This dress is really lovely and the quality seems excellent. the bodice of the dress fits tight and that is why i knocked off one star. i am a 34 a 5'6"" and 123 lbs., ordered the 2, my usual size. the top part is very snug and it hugs tightly around my neck which i don't like. i may try going up a size but it fits so perfectly everywhere else. the length is perfect it just touches the ground, no need to hem it even with flats. the color may be a bit more of a peachy color in person but overall t",4,1,42,General Petite,Dresses,Dresses
70,13128,1078,46,,Just a heads up - this is a romper - pants and not a dress! you can't tell from the pictures. i ordered thinking it was a dress but it's actually ... culottes? i'm not sure what you would call it. the pull on styling was awkward and the sash was bulky. it definitely goes back!,3,0,42,General,Dresses,Dresses
71,13350,1038,29,Loose in the crotch,"Jegging-Like Everywhere Elsei Think You Have To Have Stick Legs/Legs For Days For This Style To Fit As Pictured. I Thought I Had Found The Perfect Boyfriend Jean, But Once These Babies Arrived I Was Really Disappointed. The Color Is Slightly Brighter Than The Picture, Which Is Fine, Though I Was Digging The Slightly Greyed Look.

Anyway, These Were Loose In The Waist And Crotch And Fit Snugly Everywhere Else. I Have A Fairly Athletic Build, So It'S Not Uncommon For Me To Have Issues With Fit Around The Calves And Thighs,",3,0,42,General Petite,Bottoms,Jeans
